  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.750  -1.0298   0.12468   0.12173   0.0079   1.0000   0.0199
 -17.500  -1.0693   0.11191   0.10877   0.0002   1.0000   0.0198
 -17.250  -1.0995   0.10168   0.09835  -0.0060   1.0000   0.0198
 -17.000  -1.1249   0.09280   0.08929  -0.0113   1.0000   0.0198
 -16.750  -1.1466   0.08496   0.08127  -0.0159   1.0000   0.0198
 -16.500  -1.1653   0.07799   0.07413  -0.0199   1.0000   0.0198
 -16.250  -1.1812   0.07170   0.06767  -0.0235   1.0000   0.0199
 -16.000  -1.1949   0.06606   0.06186  -0.0265   1.0000   0.0200
 -15.750  -1.2058   0.06100   0.05662  -0.0291   1.0000   0.0201
 -15.500  -1.2144   0.05648   0.05192  -0.0313   1.0000   0.0202
 -15.250  -1.2215   0.05237   0.04764  -0.0331   1.0000   0.0204
 -15.000  -1.2315   0.04811   0.04324  -0.0338   1.0000   0.0206
 -14.750  -1.2349   0.04484   0.03986  -0.0342   1.0000   0.0209
 -14.500  -1.2347   0.04212   0.03707  -0.0345   1.0000   0.0212
 -14.250  -1.2325   0.03975   0.03462  -0.0345   1.0000   0.0215
 -14.000  -1.2291   0.03762   0.03240  -0.0342   1.0000   0.0218
 -13.750  -1.2249   0.03570   0.03037  -0.0337   1.0000   0.0222
 -13.500  -1.2199   0.03394   0.02850  -0.0328   1.0000   0.0226
 -13.250  -1.2139   0.03236   0.02680  -0.0316   1.0000   0.0230
 -13.000  -1.2065   0.03098   0.02531  -0.0303   1.0000   0.0236
 -12.750  -1.1977   0.02979   0.02397  -0.0288   1.0000   0.0240
 -12.500  -1.1907   0.02837   0.02243  -0.0268   1.0000   0.0245
 -12.250  -1.1850   0.02684   0.02086  -0.0246   1.0000   0.0251
 -12.000  -1.1748   0.02586   0.01984  -0.0225   1.0000   0.0257
 -11.750  -1.1622   0.02501   0.01893  -0.0207   1.0000   0.0264
 -11.500  -1.1470   0.02416   0.01801  -0.0192   1.0000   0.0271
 -11.250  -1.1306   0.02336   0.01712  -0.0178   1.0000   0.0279
 -11.000  -1.1126   0.02267   0.01632  -0.0165   1.0000   0.0287
 -10.750  -1.0994   0.02143   0.01504  -0.0147   1.0000   0.0297
 -10.500  -1.0815   0.02069   0.01429  -0.0135   1.0000   0.0308
 -10.250  -1.0618   0.02009   0.01364  -0.0124   1.0000   0.0320
